string_id,string_name,brand,series,gauge_mm,material,price_rm,rating,review_count,budget_tier,attacking_fit_label,control_fit_label,durable_fit_label,crisp_sound_label,source_url,attack,attack_100,attack_confidence,attack_review_raw,comfort,comfort_100,comfort_confidence,comfort_review_raw,control,control_100,control_confidence,control_review_raw,durability,durability_100,durability_confidence,durability_review_raw,elasticity,elasticity_100,elasticity_confidence,elasticity_review_raw,sound,sound_100,sound_confidence,sound_review_raw,string_movement,string_movement_100,string_movement_confidence,string_movement_review_raw,tension_retention,tension_retention_100,tension_retention_confidence,tension_retention_review_raw,value_for_money,value_for_money_100,value_for_money_confidence,value_for_money_review_raw,stability_score,all_round_score,attacking_fit_score,control_fit_score,beginner_fit_score
12743,EXBOLT65,尤尼克斯 YONEX,高弹性,0.65,线芯-高强度尼龙复丝、侧丝-锻造纤维、特殊编织、涂层-弹力表层,76.0,8.7,443,high,high,high,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=12743,0.92,92.0,1.0,0.958368,0.869648,87.0,1.0,0.872148,0.907709,90.8,1.0,0.907709,0.847265,84.7,1.0,0.862265,0.862987,86.3,1.0,0.858612,0.88498,88.5,1.0,0.88123,0.518627,51.9,1.0,0.531961,0.884907,88.5,1.0,0.894907,0.632122,63.2,1.0,0.699824,0.518627,0.814249,0.889322,0.770414,0.7355856999999999
19074,EXBOLT 68,尤尼克斯 YONEX,耐久性,0.68,线芯-高强度尼龙复丝、侧丝-椭圆形锻造纤维、特殊编织、涂层-弹力表层,76.0,8.2,355,high,high,high,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=19074,0.92,92.0,1.0,0.956073,0.795235,79.5,1.0,0.790235,0.92,92.0,1.0,0.923793,0.854092,85.4,1.0,0.846592,0.878558,87.9,1.0,0.887308,0.833777,83.4,1.0,0.841277,0.403757,40.4,1.0,0.397091,0.918915,91.9,1.0,0.913915,0.631214,63.1,1.0,0.709907,0.403757,0.795061,0.877445,0.747557,0.6877055500000001
17014,RYZONIC 65,高神 Gosen,,0.65,高强度尼龙+树脂,0.0,8.9,517,unknown,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=17014,0.92,92.0,1.0,0.977507,0.92,92.0,1.0,0.925937,0.874683,87.5,1.0,0.874683,0.876901,87.7,1.0,0.891901,0.831181,83.1,1.0,0.826806,0.92,92.0,1.0,0.95325,0.354062,35.4,1.0,0.367395,0.782026,78.2,1.0,0.792026,0.91584,91.6,1.0,0.910234,0.354062,0.821633,0.890394,0.670257,0.7971526
6652,VBS-66 NANO,威克多 VICTOR,高弹,0.66,VBS-66N以高强度尼龙复丝为内芯，通过纳米技术充分填充球线的每个交叉处,0.0,8.9,3461,unknown,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=6652,0.92,92.0,1.0,0.981595,0.92,92.0,1.0,0.936548,0.92,92.0,1.0,0.948404,0.864774,86.5,1.0,0.872274,0.92,92.0,1.0,0.949289,0.914908,91.5,1.0,0.914908,0.2,20.0,1.0,0.164619,0.789141,78.9,1.0,0.794141,0.92,92.0,1.0,0.952057,0.2,0.818758,0.918303,0.63638,0.7649548000000002
7142,VBS-69 NANO,威克多 VICTOR,耐久,0.69,高强度尼龙复丝,0.0,8.0,132,unknown,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=7142,0.92,92.0,1.0,0.992624,0.894866,89.5,1.0,0.887366,0.92,92.0,1.0,0.981998,0.92,92.0,1.0,0.959143,0.779935,78.0,1.0,0.79306,0.849632,85.0,1.0,0.860882,0.253682,25.4,1.0,0.240349,0.780828,78.1,1.0,0.770828,0.831697,83.2,1.0,0.857229,0.253682,0.794516,0.849856,0.651503,0.7558637500000001
7218,VBS-68,威克多 VICTOR,控制,0.68,高韧性Vectran 纤维与特殊扁平纱,0.0,8.6,155,unknown,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=7218,0.92,92.0,1.0,0.996524,0.771111,77.1,1.0,0.766111,0.92,92.0,1.0,0.992132,0.888575,88.9,1.0,0.881075,0.84575,84.6,1.0,0.8545,0.847403,84.7,1.0,0.854903,0.2,20.0,1.0,0.187421,0.812731,81.3,1.0,0.807731,0.92,92.0,1.0,0.956053,0.2,0.79173,0.871051,0.644244,0.7176038499999999
7220,VBS-70,威克多 VICTOR,耐久,0.7,复丝尼龙,0.0,8.4,765,unknown,high,high,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=7220,0.92,92.0,1.0,0.997397,0.918646,91.9,1.0,0.908646,0.92,92.0,1.0,0.951999,0.92,92.0,1.0,0.977532,0.676241,67.6,1.0,0.693741,0.855116,85.5,1.0,0.870116,0.372066,37.2,1.0,0.352066,0.857167,85.7,1.0,0.842167,0.92,92.0,1.0,0.967637,0.372066,0.817693,0.817119,0.716411,0.8099393
20064,VBS-61,威克多 VICTOR,高弹,0.61,-,0.0,7.6,117,unknown,high,low,medium,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=20064,0.903699,90.4,1.0,0.884949,0.781325,78.1,1.0,0.793825,0.728805,72.9,1.0,0.728805,0.618721,61.9,1.0,0.663721,0.914199,91.4,1.0,0.892324,0.901979,90.2,1.0,0.883229,0.2,20.0,1.0,0.101466,0.704918,70.5,1.0,0.734918,0.528564,52.9,1.0,0.556604,0.2,0.698023,0.906626,0.544574,0.56934895
7217,VBS-63,威克多 VICTOR,高弹,0.63,尼龙,0.0,8.4,413,unknown,high,medium,low,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=7217,0.92,92.0,1.0,0.971076,0.911809,91.2,1.0,0.919309,0.92,92.0,1.0,0.983626,0.540063,54.0,1.0,0.570063,0.92,92.0,1.0,0.967876,0.92,92.0,1.0,0.954695,0.2,20.0,1.0,0.160547,0.682062,68.2,1.0,0.702062,0.772231,77.2,1.0,0.781835,0.2,0.754018,0.92,0.600687,0.6602035
7219,VBS-68 Power,威克多 VICTOR,控制,0.68,复丝尼龙,0.0,8.2,273,unknown,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=7219,0.92,92.0,1.0,0.949684,0.893881,89.4,1.0,0.888881,0.92,92.0,1.0,0.928401,0.92,92.0,1.0,0.915451,0.784229,78.4,1.0,0.792979,0.825119,82.5,1.0,0.832619,0.2,20.0,1.0,0.107689,0.737027,73.7,1.0,0.732027,0.826455,82.6,1.0,0.824163,0.2,0.780746,0.843116,0.619009,0.7434721000000001
7015,李宁1号线,李宁 Lining,高反弹,0.65,耐热高强力尼龙复丝,0.0,7.7,961,unknown,high,low,low,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=7015,0.88151,88.2,1.0,0.87776,0.910617,91.1,1.0,0.913117,0.846153,84.6,1.0,0.846153,0.546406,54.6,1.0,0.561406,0.92,92.0,1.0,0.939407,0.912958,91.3,1.0,0.909208,0.2,20.0,1.0,0.167371,0.611036,61.1,1.0,0.621036,0.770842,77.1,1.0,0.78228,0.2,0.73328,0.904823,0.552396,0.66070765
9285,N65,李宁 Lining,高反弹,0.65,尼龙,0.0,8.5,789,unknown,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=9285,0.92,92.0,1.0,0.936467,0.897892,89.8,1.0,0.900392,0.899207,89.9,1.0,0.899207,0.747108,74.7,1.0,0.762108,0.92,92.0,1.0,0.937866,0.896978,89.7,1.0,0.893228,0.281723,28.2,1.0,0.295056,0.865129,86.5,1.0,0.875129,0.841143,84.1,1.0,0.840274,0.281723,0.807687,0.912326,0.68202,0.73031415
10729,N68,李宁 Lining,高反弹,0.68,尼龙,0.0,8.6,515,unknown,high,high,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=10729,0.92,92.0,1.0,0.957377,0.786658,78.7,1.0,0.781658,0.92,92.0,1.0,0.943728,0.788369,78.8,1.0,0.780869,0.88352,88.4,1.0,0.89227,0.805951,80.6,1.0,0.813451,0.267391,26.7,1.0,0.260724,0.92,92.0,1.0,0.919777,0.86446,86.4,1.0,0.865456,0.267391,0.79515,0.869824,0.702464,0.7025973
11433,N63,李宁 Lining,高反弹,0.63,尼龙纤维,0.0,8.6,110,unknown,high,medium,low,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=11433,0.833892,83.4,0.8973,0.842142,0.795466,79.5,1.0,0.802966,0.889999,89.0,1.0,0.889999,0.483408,48.3,1.0,0.513408,0.92,92.0,1.0,0.923076,0.845493,84.5,1.0,0.834243,0.210808,21.1,1.0,0.237474,0.79342,79.3,1.0,0.81342,0.656463,65.6,1.0,0.693466,0.210808,0.714328,0.866462,0.631409,0.58137205
9284,N61,李宁 Lining,高反弹,0.61,尼龙,0.0,7.8,152,unknown,high,low,low,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=9284,0.92,92.0,1.0,0.933953,0.761403,76.1,1.0,0.773903,0.791529,79.2,1.0,0.791529,0.416277,41.6,1.0,0.461277,0.92,92.0,1.0,0.901688,0.92,92.0,1.0,0.902088,0.23653,23.7,1.0,0.27653,0.663521,66.4,1.0,0.693521,0.440823,44.1,1.0,0.454431,0.23653,0.674454,0.92,0.56386,0.5072582
7751,Kizuna Z61,其它品牌 Other,,0.61,高分子尼龙复丝,0.0,8.9,251,unknown,high,high,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=7751,0.92,92.0,1.0,0.948934,0.76755,76.8,1.0,0.78005,0.872335,87.2,1.0,0.872335,0.849682,85.0,1.0,0.894682,0.92,92.0,1.0,0.925015,0.899534,90.0,1.0,0.880784,0.564639,56.5,1.0,0.604639,0.866619,86.7,1.0,0.896619,0.435825,43.6,1.0,0.464892,0.564639,0.788465,0.913178,0.767864,0.66046295
22513,JS-63,薰风 kumpoo,,0.63,尼龙,33.0,8.8,391,mid,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=22513,0.92,92.0,1.0,0.972962,0.802509,80.3,1.0,0.810009,0.92,92.0,1.0,0.938421,0.837724,83.8,1.0,0.867724,0.913217,91.3,1.0,0.900092,0.859098,85.9,1.0,0.847848,0.207748,20.8,1.0,0.234414,0.851445,85.1,1.0,0.871445,0.92,92.0,1.0,0.944539,0.207748,0.803527,0.897438,0.659731,0.71997255
24114,雷鸣69,高神 Gosen,,0.69,尼龙,0.0,8.8,44,unknown,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=24114,0.904832,90.5,0.742,0.989834,0.92,92.0,1.0,0.922337,0.886705,88.7,0.9671,0.894063,0.836251,83.6,1.0,0.821251,0.720165,72.0,1.0,0.73329,0.799165,79.9,1.0,0.810415,0.2,20.0,1.0,0.18141,0.92,92.0,1.0,0.958477,0.810915,81.1,1.0,0.828968,0.2,0.777559,0.808054,0.668902,0.73197895
22523,JS-65,薰风 kumpoo,,0.65,尼龙,33.0,8.7,123,mid,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=22523,0.92,92.0,1.0,0.985236,0.888024,88.8,1.0,0.890524,0.92,92.0,1.0,0.951172,0.879187,87.9,1.0,0.894187,0.92,92.0,1.0,0.917084,0.842917,84.3,1.0,0.839167,0.258132,25.8,1.0,0.271466,0.890985,89.1,1.0,0.900985,0.92,92.0,1.0,0.91712,0.258132,0.826583,0.894306,0.689706,0.7682722
17013,RYZONIC 58,高神 Gosen,,0.58,高强度尼龙+树脂,0.0,7.8,109,unknown,high,low,low,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=17013,0.850828,85.1,1.0,0.820828,0.83006,83.0,1.0,0.85006,0.694875,69.5,1.0,0.694875,0.452423,45.2,1.0,0.497423,0.916715,91.7,1.0,0.881715,0.92,92.0,1.0,0.922394,0.2,20.0,1.0,0.092462,0.710351,71.0,0.6571,0.809293,0.624602,62.5,1.0,0.641445,0.2,0.688873,0.895848,0.535075,0.5771561000000001
22524,JS-69,薰风 kumpoo,,0.69,尼龙,33.0,9.5,81,mid,high,high,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=22524,0.854001,85.4,0.8004,0.912247,0.92,92.0,0.9783,0.962744,0.899611,90.0,0.7268,0.975086,0.92,92.0,1.0,0.955436,0.92,92.0,1.0,0.934979,0.863627,86.4,1.0,0.874877,0.309289,30.9,1.0,0.295956,0.908516,90.9,1.0,0.898516,0.92,92.0,1.0,0.977916,0.309289,0.835005,0.879209,0.705805,0.7978578000000001
22514,JS-67,薰风 kumpoo,,0.67,尼龙,33.0,8.6,78,mid,high,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=22514,0.92,92.0,1.0,0.978699,0.92,92.0,1.0,0.961176,0.914353,91.4,1.0,0.914353,0.92,92.0,1.0,0.924035,0.838082,83.8,1.0,0.842457,0.812461,81.2,1.0,0.816211,0.242099,24.2,1.0,0.242099,0.857086,85.7,1.0,0.857086,0.904892,90.5,1.0,0.906083,0.242099,0.81433,0.856848,0.671179,0.7806428000000001
9286,N69,李宁 Lining,均衡型,0.69,尼龙复丝,0.0,7.3,121,unknown,medium,medium,high,yes,https://www.badmintoncn.com/cbo_eq/view.php?eid=9286,0.676707,67.7,0.9406,0.693493,0.708144,70.8,1.0,0.700644,0.850748,85.1,1.0,0.850748,0.92,92.0,1.0,0.965329,0.72863,72.9,1.0,0.741755,0.75271,75.3,1.0,0.76396,0.256046,25.6,1.0,0.242713,0.784444,78.4,1.0,0.774444,0.67195,67.2,1.0,0.700964,0.256046,0.705487,0.719349,0.630413,0.6510471
