sample_id,split,review_id,string_id,string_name,aspect,label_text,label_id,mention_flag,sentiment_id,needs_manual_review,review_text,rating_label,has_tension_mention,has_price_mention,extracted_tension,likes_count,review_date,source_url
R0002_control,train,R0002,S001,BG-80,control,not_mentioned,0,0,,0,"击球音：
响啊，很响啊。
手感：
十分甚至有九分硬。
穿线次数：
三回啊三回。
弹性：
香啊，很香啊。
总结：
忆一试，吾亿试，一久一久罢已零。
（想起第一次尝试它的时候，就想要以后还可以能亿万次使用，一直长长久久地用它，却因为钱包清零而罢休）
弹性好 性价比低
亮点 高弹滴很呐，满足了我114514次进攻需求（喜）
不足 太硬了，而且一直在涨价，性价比越来越低（悲）",推荐,no,yes,,371,2023-10-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=681378
R0002_tension_retention,train,R0002,S001,BG-80,tension_retention,not_mentioned,0,0,,0,"击球音：
响啊，很响啊。
手感：
十分甚至有九分硬。
穿线次数：
三回啊三回。
弹性：
香啊，很香啊。
总结：
忆一试，吾亿试，一久一久罢已零。
（想起第一次尝试它的时候，就想要以后还可以能亿万次使用，一直长长久久地用它，却因为钱包清零而罢休）
弹性好 性价比低
亮点 高弹滴很呐，满足了我114514次进攻需求（喜）
不足 太硬了，而且一直在涨价，性价比越来越低（悲）",推荐,no,yes,,371,2023-10-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=681378
R0002_string_movement,train,R0002,S001,BG-80,string_movement,not_mentioned,0,0,,0,"击球音：
响啊，很响啊。
手感：
十分甚至有九分硬。
穿线次数：
三回啊三回。
弹性：
香啊，很香啊。
总结：
忆一试，吾亿试，一久一久罢已零。
（想起第一次尝试它的时候，就想要以后还可以能亿万次使用，一直长长久久地用它，却因为钱包清零而罢休）
弹性好 性价比低
亮点 高弹滴很呐，满足了我114514次进攻需求（喜）
不足 太硬了，而且一直在涨价，性价比越来越低（悲）",推荐,no,yes,,371,2023-10-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=681378
R0002_attack,train,R0002,S001,BG-80,attack,positive,2,1,1.0,0,"击球音：
响啊，很响啊。
手感：
十分甚至有九分硬。
穿线次数：
三回啊三回。
弹性：
香啊，很香啊。
总结：
忆一试，吾亿试，一久一久罢已零。
（想起第一次尝试它的时候，就想要以后还可以能亿万次使用，一直长长久久地用它，却因为钱包清零而罢休）
弹性好 性价比低
亮点 高弹滴很呐，满足了我114514次进攻需求（喜）
不足 太硬了，而且一直在涨价，性价比越来越低（悲）",推荐,no,yes,,371,2023-10-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=681378
R0002_sound,train,R0002,S001,BG-80,sound,positive,2,1,1.0,0,"击球音：
响啊，很响啊。
手感：
十分甚至有九分硬。
穿线次数：
三回啊三回。
弹性：
香啊，很香啊。
总结：
忆一试，吾亿试，一久一久罢已零。
（想起第一次尝试它的时候，就想要以后还可以能亿万次使用，一直长长久久地用它，却因为钱包清零而罢休）
弹性好 性价比低
亮点 高弹滴很呐，满足了我114514次进攻需求（喜）
不足 太硬了，而且一直在涨价，性价比越来越低（悲）",推荐,no,yes,,371,2023-10-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=681378
R0002_comfort,train,R0002,S001,BG-80,comfort,negative,3,1,-1.0,0,"击球音：
响啊，很响啊。
手感：
十分甚至有九分硬。
穿线次数：
三回啊三回。
弹性：
香啊，很香啊。
总结：
忆一试，吾亿试，一久一久罢已零。
（想起第一次尝试它的时候，就想要以后还可以能亿万次使用，一直长长久久地用它，却因为钱包清零而罢休）
弹性好 性价比低
亮点 高弹滴很呐，满足了我114514次进攻需求（喜）
不足 太硬了，而且一直在涨价，性价比越来越低（悲）",推荐,no,yes,,371,2023-10-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=681378
R0002_value_for_money,train,R0002,S001,BG-80,value_for_money,negative,3,1,-1.0,0,"击球音：
响啊，很响啊。
手感：
十分甚至有九分硬。
穿线次数：
三回啊三回。
弹性：
香啊，很香啊。
总结：
忆一试，吾亿试，一久一久罢已零。
（想起第一次尝试它的时候，就想要以后还可以能亿万次使用，一直长长久久地用它，却因为钱包清零而罢休）
弹性好 性价比低
亮点 高弹滴很呐，满足了我114514次进攻需求（喜）
不足 太硬了，而且一直在涨价，性价比越来越低（悲）",推荐,no,yes,,371,2023-10-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=681378
R0003_elasticity,val,R0003,S001,BG-80,elasticity,negative,3,1,-1.0,0,"目过广大球友的评论，字缝里可以看出大家对80线的踊跃。总的来说，我不反对任何人对80线的热忱，但我希望这条线的完美打感会在高一些的磅数表现出来。下面我将给出一段很长的公正、合理的评论。25-27的80线上在zf2上，耐打很顶，2个月了，或掉磅，比起100ZZ上的80P肉了许多，高远很方便，杀球没有80P犀利，但杀得很死，猛也没什么问题。控制性比起刚拉完差了不少，但落点依旧不错，例如杀球可认中准(比80P略慢一点点，一点点)建议想打26磅的上27磅保险一点，对一那些比较费线的重炮手来说，就没必要了。再论音效，次于66U，响度大于ab，26磅声音没27磅的80P得劲。若放弃耐打，拉27+磅，在广大球友的评荐下，看出音效、控制应该可以兼得的。不震手。对于我这个刚来""中羽″的人来说，所谓的""入门″不太高，但这不代表我自身的球龄，自我觉得25-27这个磅数仍打不出球友们口中说的感受，或是技术，或是拉线师，或是本人自身的问题…我推荐这条线给大家，希望各位可以得出更好的打感，有更好的结论。虽然我给出了3星，让那但板着想拉80线之心的球友有点失望，诳驾己言可能让大家对80线失去了一些信心，也许因为我自己一个人而坏了80线在""中羽″的总体评分，但在这之后我还想再拉80线尝试80线更好的打感，望球技更上一层楼，盼各球友在此评之下对80线有更好的认知，和对入线磅数的估认…谢谢各位的理解。
耐打
 

亮点 音效可以，耐打，杀得死…
不足 上文己详明，希望高磅不足会少一些，期待80线的完美表现",还行,yes,no,26,132,2022-5-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=251817
R0003_durability,val,R0003,S001,BG-80,durability,positive,2,1,1.0,0,"目过广大球友的评论，字缝里可以看出大家对80线的踊跃。总的来说，我不反对任何人对80线的热忱，但我希望这条线的完美打感会在高一些的磅数表现出来。下面我将给出一段很长的公正、合理的评论。25-27的80线上在zf2上，耐打很顶，2个月了，或掉磅，比起100ZZ上的80P肉了许多，高远很方便，杀球没有80P犀利，但杀得很死，猛也没什么问题。控制性比起刚拉完差了不少，但落点依旧不错，例如杀球可认中准(比80P略慢一点点，一点点)建议想打26磅的上27磅保险一点，对一那些比较费线的重炮手来说，就没必要了。再论音效，次于66U，响度大于ab，26磅声音没27磅的80P得劲。若放弃耐打，拉27+磅，在广大球友的评荐下，看出音效、控制应该可以兼得的。不震手。对于我这个刚来""中羽″的人来说，所谓的""入门″不太高，但这不代表我自身的球龄，自我觉得25-27这个磅数仍打不出球友们口中说的感受，或是技术，或是拉线师，或是本人自身的问题…我推荐这条线给大家，希望各位可以得出更好的打感，有更好的结论。虽然我给出了3星，让那但板着想拉80线之心的球友有点失望，诳驾己言可能让大家对80线失去了一些信心，也许因为我自己一个人而坏了80线在""中羽″的总体评分，但在这之后我还想再拉80线尝试80线更好的打感，望球技更上一层楼，盼各球友在此评之下对80线有更好的认知，和对入线磅数的估认…谢谢各位的理解。
耐打
 

亮点 音效可以，耐打，杀得死…
不足 上文己详明，希望高磅不足会少一些，期待80线的完美表现",还行,yes,no,26,132,2022-5-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=251817
R0003_control,val,R0003,S001,BG-80,control,mentioned,1,1,,1,"目过广大球友的评论，字缝里可以看出大家对80线的踊跃。总的来说，我不反对任何人对80线的热忱，但我希望这条线的完美打感会在高一些的磅数表现出来。下面我将给出一段很长的公正、合理的评论。25-27的80线上在zf2上，耐打很顶，2个月了，或掉磅，比起100ZZ上的80P肉了许多，高远很方便，杀球没有80P犀利，但杀得很死，猛也没什么问题。控制性比起刚拉完差了不少，但落点依旧不错，例如杀球可认中准(比80P略慢一点点，一点点)建议想打26磅的上27磅保险一点，对一那些比较费线的重炮手来说，就没必要了。再论音效，次于66U，响度大于ab，26磅声音没27磅的80P得劲。若放弃耐打，拉27+磅，在广大球友的评荐下，看出音效、控制应该可以兼得的。不震手。对于我这个刚来""中羽″的人来说，所谓的""入门″不太高，但这不代表我自身的球龄，自我觉得25-27这个磅数仍打不出球友们口中说的感受，或是技术，或是拉线师，或是本人自身的问题…我推荐这条线给大家，希望各位可以得出更好的打感，有更好的结论。虽然我给出了3星，让那但板着想拉80线之心的球友有点失望，诳驾己言可能让大家对80线失去了一些信心，也许因为我自己一个人而坏了80线在""中羽″的总体评分，但在这之后我还想再拉80线尝试80线更好的打感，望球技更上一层楼，盼各球友在此评之下对80线有更好的认知，和对入线磅数的估认…谢谢各位的理解。
耐打
 

亮点 音效可以，耐打，杀得死…
不足 上文己详明，希望高磅不足会少一些，期待80线的完美表现",还行,yes,no,26,132,2022-5-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=251817
R0003_tension_retention,val,R0003,S001,BG-80,tension_retention,negative,3,1,-1.0,0,"目过广大球友的评论，字缝里可以看出大家对80线的踊跃。总的来说，我不反对任何人对80线的热忱，但我希望这条线的完美打感会在高一些的磅数表现出来。下面我将给出一段很长的公正、合理的评论。25-27的80线上在zf2上，耐打很顶，2个月了，或掉磅，比起100ZZ上的80P肉了许多，高远很方便，杀球没有80P犀利，但杀得很死，猛也没什么问题。控制性比起刚拉完差了不少，但落点依旧不错，例如杀球可认中准(比80P略慢一点点，一点点)建议想打26磅的上27磅保险一点，对一那些比较费线的重炮手来说，就没必要了。再论音效，次于66U，响度大于ab，26磅声音没27磅的80P得劲。若放弃耐打，拉27+磅，在广大球友的评荐下，看出音效、控制应该可以兼得的。不震手。对于我这个刚来""中羽″的人来说，所谓的""入门″不太高，但这不代表我自身的球龄，自我觉得25-27这个磅数仍打不出球友们口中说的感受，或是技术，或是拉线师，或是本人自身的问题…我推荐这条线给大家，希望各位可以得出更好的打感，有更好的结论。虽然我给出了3星，让那但板着想拉80线之心的球友有点失望，诳驾己言可能让大家对80线失去了一些信心，也许因为我自己一个人而坏了80线在""中羽″的总体评分，但在这之后我还想再拉80线尝试80线更好的打感，望球技更上一层楼，盼各球友在此评之下对80线有更好的认知，和对入线磅数的估认…谢谢各位的理解。
耐打
 

亮点 音效可以，耐打，杀得死…
不足 上文己详明，希望高磅不足会少一些，期待80线的完美表现",还行,yes,no,26,132,2022-5-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=251817
R0003_string_movement,val,R0003,S001,BG-80,string_movement,not_mentioned,0,0,,0,"目过广大球友的评论，字缝里可以看出大家对80线的踊跃。总的来说，我不反对任何人对80线的热忱，但我希望这条线的完美打感会在高一些的磅数表现出来。下面我将给出一段很长的公正、合理的评论。25-27的80线上在zf2上，耐打很顶，2个月了，或掉磅，比起100ZZ上的80P肉了许多，高远很方便，杀球没有80P犀利，但杀得很死，猛也没什么问题。控制性比起刚拉完差了不少，但落点依旧不错，例如杀球可认中准(比80P略慢一点点，一点点)建议想打26磅的上27磅保险一点，对一那些比较费线的重炮手来说，就没必要了。再论音效，次于66U，响度大于ab，26磅声音没27磅的80P得劲。若放弃耐打，拉27+磅，在广大球友的评荐下，看出音效、控制应该可以兼得的。不震手。对于我这个刚来""中羽″的人来说，所谓的""入门″不太高，但这不代表我自身的球龄，自我觉得25-27这个磅数仍打不出球友们口中说的感受，或是技术，或是拉线师，或是本人自身的问题…我推荐这条线给大家，希望各位可以得出更好的打感，有更好的结论。虽然我给出了3星，让那但板着想拉80线之心的球友有点失望，诳驾己言可能让大家对80线失去了一些信心，也许因为我自己一个人而坏了80线在""中羽″的总体评分，但在这之后我还想再拉80线尝试80线更好的打感，望球技更上一层楼，盼各球友在此评之下对80线有更好的认知，和对入线磅数的估认…谢谢各位的理解。
耐打
 

亮点 音效可以，耐打，杀得死…
不足 上文己详明，希望高磅不足会少一些，期待80线的完美表现",还行,yes,no,26,132,2022-5-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=251817
R0003_attack,val,R0003,S001,BG-80,attack,mixed,4,1,0.0,1,"目过广大球友的评论，字缝里可以看出大家对80线的踊跃。总的来说，我不反对任何人对80线的热忱，但我希望这条线的完美打感会在高一些的磅数表现出来。下面我将给出一段很长的公正、合理的评论。25-27的80线上在zf2上，耐打很顶，2个月了，或掉磅，比起100ZZ上的80P肉了许多，高远很方便，杀球没有80P犀利，但杀得很死，猛也没什么问题。控制性比起刚拉完差了不少，但落点依旧不错，例如杀球可认中准(比80P略慢一点点，一点点)建议想打26磅的上27磅保险一点，对一那些比较费线的重炮手来说，就没必要了。再论音效，次于66U，响度大于ab，26磅声音没27磅的80P得劲。若放弃耐打，拉27+磅，在广大球友的评荐下，看出音效、控制应该可以兼得的。不震手。对于我这个刚来""中羽″的人来说，所谓的""入门″不太高，但这不代表我自身的球龄，自我觉得25-27这个磅数仍打不出球友们口中说的感受，或是技术，或是拉线师，或是本人自身的问题…我推荐这条线给大家，希望各位可以得出更好的打感，有更好的结论。虽然我给出了3星，让那但板着想拉80线之心的球友有点失望，诳驾己言可能让大家对80线失去了一些信心，也许因为我自己一个人而坏了80线在""中羽″的总体评分，但在这之后我还想再拉80线尝试80线更好的打感，望球技更上一层楼，盼各球友在此评之下对80线有更好的认知，和对入线磅数的估认…谢谢各位的理解。
耐打
 

亮点 音效可以，耐打，杀得死…
不足 上文己详明，希望高磅不足会少一些，期待80线的完美表现",还行,yes,no,26,132,2022-5-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=251817
R0003_sound,val,R0003,S001,BG-80,sound,positive,2,1,1.0,0,"目过广大球友的评论，字缝里可以看出大家对80线的踊跃。总的来说，我不反对任何人对80线的热忱，但我希望这条线的完美打感会在高一些的磅数表现出来。下面我将给出一段很长的公正、合理的评论。25-27的80线上在zf2上，耐打很顶，2个月了，或掉磅，比起100ZZ上的80P肉了许多，高远很方便，杀球没有80P犀利，但杀得很死，猛也没什么问题。控制性比起刚拉完差了不少，但落点依旧不错，例如杀球可认中准(比80P略慢一点点，一点点)建议想打26磅的上27磅保险一点，对一那些比较费线的重炮手来说，就没必要了。再论音效，次于66U，响度大于ab，26磅声音没27磅的80P得劲。若放弃耐打，拉27+磅，在广大球友的评荐下，看出音效、控制应该可以兼得的。不震手。对于我这个刚来""中羽″的人来说，所谓的""入门″不太高，但这不代表我自身的球龄，自我觉得25-27这个磅数仍打不出球友们口中说的感受，或是技术，或是拉线师，或是本人自身的问题…我推荐这条线给大家，希望各位可以得出更好的打感，有更好的结论。虽然我给出了3星，让那但板着想拉80线之心的球友有点失望，诳驾己言可能让大家对80线失去了一些信心，也许因为我自己一个人而坏了80线在""中羽″的总体评分，但在这之后我还想再拉80线尝试80线更好的打感，望球技更上一层楼，盼各球友在此评之下对80线有更好的认知，和对入线磅数的估认…谢谢各位的理解。
耐打
 

亮点 音效可以，耐打，杀得死…
不足 上文己详明，希望高磅不足会少一些，期待80线的完美表现",还行,yes,no,26,132,2022-5-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=251817
R0003_comfort,val,R0003,S001,BG-80,comfort,positive,2,1,1.0,0,"目过广大球友的评论，字缝里可以看出大家对80线的踊跃。总的来说，我不反对任何人对80线的热忱，但我希望这条线的完美打感会在高一些的磅数表现出来。下面我将给出一段很长的公正、合理的评论。25-27的80线上在zf2上，耐打很顶，2个月了，或掉磅，比起100ZZ上的80P肉了许多，高远很方便，杀球没有80P犀利，但杀得很死，猛也没什么问题。控制性比起刚拉完差了不少，但落点依旧不错，例如杀球可认中准(比80P略慢一点点，一点点)建议想打26磅的上27磅保险一点，对一那些比较费线的重炮手来说，就没必要了。再论音效，次于66U，响度大于ab，26磅声音没27磅的80P得劲。若放弃耐打，拉27+磅，在广大球友的评荐下，看出音效、控制应该可以兼得的。不震手。对于我这个刚来""中羽″的人来说，所谓的""入门″不太高，但这不代表我自身的球龄，自我觉得25-27这个磅数仍打不出球友们口中说的感受，或是技术，或是拉线师，或是本人自身的问题…我推荐这条线给大家，希望各位可以得出更好的打感，有更好的结论。虽然我给出了3星，让那但板着想拉80线之心的球友有点失望，诳驾己言可能让大家对80线失去了一些信心，也许因为我自己一个人而坏了80线在""中羽″的总体评分，但在这之后我还想再拉80线尝试80线更好的打感，望球技更上一层楼，盼各球友在此评之下对80线有更好的认知，和对入线磅数的估认…谢谢各位的理解。
耐打
 

亮点 音效可以，耐打，杀得死…
不足 上文己详明，希望高磅不足会少一些，期待80线的完美表现",还行,yes,no,26,132,2022-5-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=251817
R0003_value_for_money,val,R0003,S001,BG-80,value_for_money,not_mentioned,0,0,,0,"目过广大球友的评论，字缝里可以看出大家对80线的踊跃。总的来说，我不反对任何人对80线的热忱，但我希望这条线的完美打感会在高一些的磅数表现出来。下面我将给出一段很长的公正、合理的评论。25-27的80线上在zf2上，耐打很顶，2个月了，或掉磅，比起100ZZ上的80P肉了许多，高远很方便，杀球没有80P犀利，但杀得很死，猛也没什么问题。控制性比起刚拉完差了不少，但落点依旧不错，例如杀球可认中准(比80P略慢一点点，一点点)建议想打26磅的上27磅保险一点，对一那些比较费线的重炮手来说，就没必要了。再论音效，次于66U，响度大于ab，26磅声音没27磅的80P得劲。若放弃耐打，拉27+磅，在广大球友的评荐下，看出音效、控制应该可以兼得的。不震手。对于我这个刚来""中羽″的人来说，所谓的""入门″不太高，但这不代表我自身的球龄，自我觉得25-27这个磅数仍打不出球友们口中说的感受，或是技术，或是拉线师，或是本人自身的问题…我推荐这条线给大家，希望各位可以得出更好的打感，有更好的结论。虽然我给出了3星，让那但板着想拉80线之心的球友有点失望，诳驾己言可能让大家对80线失去了一些信心，也许因为我自己一个人而坏了80线在""中羽″的总体评分，但在这之后我还想再拉80线尝试80线更好的打感，望球技更上一层楼，盼各球友在此评之下对80线有更好的认知，和对入线磅数的估认…谢谢各位的理解。
耐打
 

亮点 音效可以，耐打，杀得死…
不足 上文己详明，希望高磅不足会少一些，期待80线的完美表现",还行,yes,no,26,132,2022-5-7,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=251817
R0004_elasticity,train,R0004,S001,BG-80,elasticity,mixed,4,1,0.0,1,"最好的弹性大，手感清晰，方向性极度好。属于硬快弹性，手感脆，感觉是突然的把球射出去，方向性极度好。特别是下压不容易失误，下压线路、落点容易控制。声音清脆，弹性保持时间很长，不容易发肉。很耐打，白色好象比蓝色的耐打一些，但是前提要是高水平的无钩上弦，BG80线表面涩，一穿到底的有钩拉法会把线表面磨光。不能打死折，这种比较硬的线打死折很容易断。非常大力量的杀球感觉线不够硬，但是绝大多数时候的发力都在合适范围内。适合从低到高的各种拍压。缺点是手感不够柔和细腻，对于过于精细的控制比较弱，大多数时候和大多数人都可以用，楼下的同志我还在，2006年前就有BG80。BG80适合TI、TSP、NS9000X、NS9900、CAB20TIPOWER，不适合弓箭、AT、CAB大部分拍子、MP系列（手感不好，打着不顺手）。弓箭、AT、CAB大部分拍子、MP系列可以用65TI硬、N95中、66UM软。BG65只适合很少的拍子，手感会发肉。弓箭10上65TI非常好用，上80就不行。AT900P上N95很好用，上BG65手感很肉。高磅比低磅弹性大，但是对推球一类的技术有影响，不如低磅好控制。BG80SP版的弹性比CH版的小，手感有点木，难道不是一个地方产的？还有现在我们那里高水平上线的地方很少了，只能选YY和胜利。其他线拿去上手工费30元，还不如直接YY。胜利线感觉有点软。
弹性好 性价比高
亮点 进攻
不足 控制",真香,yes,yes,65,103,2010-3-29,https://www.badmintoncn.com/cbo_eq/view_comm_view.php?eid=715&cid=1425
